,id_ref,created_ref,valid_ref,volume,pt_supervoxel_id,pt_root_id,id,created,valid,target_id,classification_system,cell_type,pt_position,bb_start_position,bb_end_position
0,264932,2020-09-28 22:42:11.339604+00:00,t,281.13698816,89315117036107359,864691135969447781,1,2023-05-01 23:00:02.835690+00:00,t,264932,allen_cortex_inhibitory,Martinotti,[178480 188832  21101],[nan nan nan],[nan nan nan]
1,368160,2020-09-28 22:44:22.644126+00:00,t,245.76376832,95085354260355214,864691136118647832,2,2023-05-02 22:48:30.085118+00:00,t,368160,allen_cortex_inhibitory,Martinotti,[220432 188672  22900],[nan nan nan],[nan nan nan]
2,404262,2020-09-28 22:44:16.922587+00:00,t,236.33330176,98043796654477809,864691136116457636,3,2023-05-02 22:50:19.739539+00:00,t,404262,allen_cortex_inhibitory,Martinotti,[241984 210864  24320],[nan nan nan],[nan nan nan]
3,269334,2020-09-28 22:44:59.452775+00:00,t,305.2027904,88825765575333831,864691136238652476,4,2023-05-02 22:52:19.753362+00:00,t,269334,allen_cortex_inhibitory,Martinotti,[175136 212800  20750],[nan nan nan],[nan nan nan]
4,340252,2020-09-28 22:44:04.858880+00:00,t,214.9031936,93117847123192500,864691136618564493,5,2023-05-02 22:53:51.328775+00:00,t,340252,allen_cortex_inhibitory,Martinotti,[206080 209744  24431],[nan nan nan],[nan nan nan]
5,269485,2020-09-28 22:44:59.001156+00:00,t,303.3243648,88615277952475942,864691136195284556,6,2023-05-02 22:55:08.197304+00:00,t,269485,allen_cortex_inhibitory,Martinotti,[173184 217472  21929],[nan nan nan],[nan nan nan]
6,164494,2020-09-28 22:44:36.497609+00:00,t,267.18224384,80731847898140342,864691135785592004,7,2023-05-02 22:56:50.116268+00:00,t,164494,allen_cortex_inhibitory,Martinotti,[115904 201632  18829],[nan nan nan],[nan nan nan]
7,303085,2020-09-28 22:45:11.358823+00:00,t,333.18420480000003,90653566284840018,864691135572082925,8,2023-05-02 22:57:41.592115+00:00,t,303085,allen_cortex_inhibitory,Martinotti,[188048 199488  21406],[nan nan nan],[nan nan nan]
8,161736,2020-09-28 22:42:23.206468+00:00,t,260.95108096,82558961412258145,864691135544588584,9,2023-05-02 22:58:44.338559+00:00,t,161736,allen_cortex_inhibitory,Martinotti,[129408 183248  18971],[nan nan nan],[nan nan nan]
9,229767,2020-09-28 22:44:13.716767+00:00,t,231.00669952,85514448533910582,864691135577202181,10,2023-05-02 22:59:31.798173+00:00,t,229767,allen_cortex_inhibitory,Martinotti,[150880 183088  18273],[nan nan nan],[nan nan nan]
10,399458,2020-09-28 22:43:09.159789+00:00,t,219.06178048,96984554573205642,864691135699487522,11,2023-05-02 23:00:16.578159+00:00,t,399458,allen_cortex_inhibitory,Martinotti,[234304 183184  24031],[nan nan nan],[nan nan nan]
11,269585,2020-09-28 22:44:17.071361+00:00,t,236.81646592,88403072342632329,864691135404765166,12,2023-05-02 23:03:21.250359+00:00,t,269585,allen_cortex_inhibitory,Martinotti,[171888 209344  22995],[nan nan nan],[nan nan nan]
12,398518,2020-09-28 22:44:32.461253+00:00,t,260.78478336,96562959979272019,864691135013417622,13,2023-05-02 23:08:23.639732+00:00,t,398518,allen_cortex_inhibitory,Martinotti,[231104 187856  19274],[nan nan nan],[nan nan nan]
13,404260,2020-09-28 22:45:02.944995+00:00,t,312.13600768000003,98043590562832435,864691135341516741,14,2023-05-02 23:09:10.203354+00:00,t,404260,allen_cortex_inhibitory,Martinotti,[241728 209360  24584],[nan nan nan],[nan nan nan]
14,400905,2020-09-28 22:44:09.840387+00:00,t,223.67125504,97478990603962239,864691135118298333,15,2023-05-02 23:10:47.396665+00:00,t,400905,allen_cortex_inhibitory,Martinotti,[238080 196896  19088],[nan nan nan],[nan nan nan]
15,269414,2020-09-28 22:40:58.798378+00:00,t,268.60929024,89248321771759008,864691135697251738,16,2023-05-02 23:12:31.074443+00:00,t,269414,allen_cortex_inhibitory,Martinotti,[177936 215664  21555],[nan nan nan],[nan nan nan]
