,Pvalb-MET-2,Sst-MET-12,Sst-MET-8,Sst-MET-7,Sst-MET-5,Sst-MET-4,Sncg-MET-1,Lamp5-MET-1,Pvalb-MET-4,Sst-MET-13,Sst-MET-6,Vip-MET-4,Sst-MET-10,Sst-MET-9,Vip-MET-5,Sst-MET-3,Vip-MET-1,Pvalb-MET-3,Sst-MET-2,Sst-MET-1,Pvalb-MET-1,Vip-MET-2
Pvalb-MET-2,591.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0
Sst-MET-12,121.0,455.0,1.0,44.0,35.0,50.0,0.0,0.0,0.0,143.0,28.0,0.0,58.0,9.0,0.0,19.0,0.0,11.0,0.0,33.0,93.0,0.0
Sst-MET-8,0.0,0.0,308.0,9.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
Sst-MET-7,0.0,0.0,3.0,90.0,9.0,47.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,17.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
Sst-MET-5,0.0,0.0,0.0,1.0,145.0,3.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Sst-MET-4,0.0,0.0,0.0,24.0,1.0,217.0,0.0,0.0,0.0,20.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sncg-MET-1,59.0,38.0,0.0,0.0,0.0,0.0,256.0,36.0,55.0,17.0,0.0,6.0,3.0,0.0,31.0,0.0,83.0,0.0,19.0,31.0,0.0,6.0
Lamp5-MET-1,23.0,5.0,29.0,5.0,0.0,0.0,9.0,732.0,18.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0
Pvalb-MET-4,20.0,71.0,101.0,23.0,2.0,18.0,40.0,70.0,359.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,62.0,42.0,0.0,0.0,0.0
Sst-MET-13,23.0,82.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,206.0,40.0,0.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0,15.0,28.0,1.0
Sst-MET-6,0.0,17.0,0.0,24.0,81.0,40.0,0.0,0.0,0.0,21.0,148.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vip-MET-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,88.0
Sst-MET-10,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,96.0,15.0,0.0,0.0,0.0,17.0,0.0,13.0,0.0,0.0
Sst-MET-9,0.0,0.0,0.0,8.0,42.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0,17.0,159.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Vip-MET-5,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,363.0,0.0,29.0,0.0,0.0,0.0,0.0,4.0
Sst-MET-3,0.0,0.0,9.0,0.0,0.0,20.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,430.0,0.0,0.0,41.0,0.0,0.0,0.0
Vip-MET-1,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,53.0,0.0,0.0,45.0,0.0,282.0,0.0,0.0,0.0,0.0,57.0
Pvalb-MET-3,0.0,8.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0
Sst-MET-2,0.0,0.0,0.0,0.0,16.0,24.0,20.0,18.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,180.0,0.0,0.0,0.0
Sst-MET-1,60.0,20.0,0.0,3.0,0.0,0.0,52.0,0.0,9.0,24.0,0.0,2.0,19.0,1.0,4.0,12.0,0.0,17.0,0.0,94.0,0.0,3.0
Pvalb-MET-1,38.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,0.0
Vip-MET-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,36.0,0.0,5.0,0.0,0.0,0.0,0.0,186.0
