spec_id_label,Tree_first_cl_label,Tree_call_label
601506507,Vip Gpc3 Slc18a3,Core
601790961,Sst Tac2 Myh4,PoorQ
601803754,Sst Calb2 Pdlim5,Core
601808698,Sst Hpse Cbln4,Core
601810307,Sst Calb2 Necab1,I1
601811091,Sst Esm1,Core
602231708,Sst Calb2 Pdlim5,I1
602535278,Sst Calb2 Pdlim5,I2
604646725,Vip Pygm C1ql1,I1
605060256,Vip Lmo1 Myl1,I2
605160536,Vip Crispld2 Kcne4,I1
606098116,Pvalb Tpbg,Core
606271263,Pvalb Vipr2,Core
606308411,Pvalb Vipr2,Core
614728680,Pvalb Reln Itm2a,Core
623326230,Sst Tac1 Tacr3,I2
623415197,Pvalb Tpbg,Core
623434306,Sst Tac1 Htr1d,I3
626153003,Sst Hpse Cbln4,I3
627881581,Sst Hpse Cbln4,Core
637846989,Lamp5 Lsp1,Core
638212024,Lamp5 Ntn1 Npy2r,Core
639004612,Vip Igfbp4 Mab21l1,I1
639013022,Vip Rspo1 Itga4,I1
639674270,Vip Lmo1 Fam159b,Core
639708328,Sst Esm1,Core
639797308,Pvalb Tpbg,Core
639809582,Sst Tac2 Myh4,I3
639818525,Pvalb Tpbg,PoorQ
639841063,Sst Hpse Cbln4,Core
639862877,Sst Hpse Cbln4,Core
639881631,Sst Myh8 Etv1 ,Core
639893239,Sst Mme Fam114a1,I2
639962984,Sst Tac1 Htr1d,Core
640061596,Sst Chodl,Core
640111844,Sst Crh 4930553C11Rik ,I2
640280740,Vip Lect1 Oxtr,Core
642124659,Lamp5 Lsp1,Core
643021973,Vip Crispld2 Kcne4,I2
643536919,Sncg Vip Nptx2,Core
643702874,Sst Hpse Sema3c,PoorQ
643727497,Sst Chodl,Core
643754730,Sst Chodl,Core
644571405,Pvalb Th Sst,Core
644920227,Vip Lect1 Oxtr,Core
644941196,Lamp5 Fam19a1 Tmem182,Core
644994103,Lamp5 Lsp1,Core
645012440,Sst Myh8 Etv1 ,I2
645057881,Sst Calb2 Necab1,I2
645169930,Lamp5 Plch2 Dock5,Core
645322005,Sst Mme Fam114a1,Core
645355846,Pvalb Akr1c18 Ntf3,I1
646805498,Pvalb Reln Itm2a,Core
646852171,Pvalb Reln Itm2a,Core
647045788,Sst Tac1 Tacr3,PoorQ
648139266,Vip Ptprt Pkp2,Core
648582997,Lamp5 Ntn1 Npy2r,Core
649387261,Sst Nr2f2 Necab1,I1
652299236,Pvalb Tpbg,Core
652300499,Lamp5 Lsp1,Core
652305423,Lamp5 Lsp1,I1
652306478,Pvalb Sema3e Kank4,I2
652516963,Sncg Gpr50,Core
652533530,Sst Esm1,Core
652812484,Lamp5 Plch2 Dock5,Core
652958762,Sst Hpse Cbln4,Core
653327513,Pvalb Sema3e Kank4,I1
653699672,Sst Hpse Cbln4,Core
656156755,Sst Hpse Cbln4,Core
656705176,Sst Chodl,Core
656706125,Pvalb Tpbg,Core
656901554,Sst Hpse Sema3c,Core
657184390,Vip Rspo4 Rxfp1 Chat,I1
657185355,Vip Rspo4 Rxfp1 Chat,I1
657442490,Sst Hpse Sema3c,Core
657454163,Sst Hpse Cbln4,Core
657661669,Sst Crhr2 Efemp1,I1
657661984,Sst Hpse Cbln4,Core
657675492,Sst Calb2 Pdlim5,I1
657857340,Sst Calb2 Necab1,Core
657858349,Sst Myh8 Etv1 ,Core
657983207,Sst Hpse Cbln4,I3
657984709,Pvalb Th Sst,Core
657985196,Sst Rxfp1 Eya1,Core
657999088,Sst Calb2 Pdlim5,Core
658012080,Sst Crhr2 Efemp1,I1
658447323,Vip Rspo1 Itga4,I1
659012847,Pvalb Calb1 Sst,I1
659395808,Sst Tac1 Tacr3,PoorQ
659405820,Sst Crhr2 Efemp1,I1
659405868,Sst Chodl,Core
659413418,Sst Hpse Cbln4,Core
659697295,Lamp5 Lsp1,Core
660050258,Sst Chrna2 Ptgdr,I1
661189529,Sst Tac2 Tacstd2,Core
661318431,Sst Crh 4930553C11Rik ,I1
661319074,Sst Tac2 Tacstd2,I2
661422439,Vip Ptprt Pkp2,Core
661492805,Sst Calb2 Pdlim5,I2
662580082,Pvalb Calb1 Sst,PoorQ
663193112,Pvalb Gpr149 Islr,Core
666141992,Pvalb Tpbg,Core
667473785,Sst Mme Fam114a1,Core
667492234,Lamp5 Lsp1,Core
668176228,Sst Rxfp1 Eya1,Core
668337999,Sst Tac1 Htr1d,I2
668464797,Vip Pygm C1ql1,Core
669047778,Sst Crhr2 Efemp1,I2
669072736,Pvalb Gabrg1,Core
669074640,Sst Calb2 Pdlim5,Core
669088423,Sst Hpse Cbln4,PoorQ
669165397,Sst Tac2 Tacstd2,Core
669523148,Lamp5 Plch2 Dock5,I1
669825289,Sst Tac1 Htr1d,Core
669838950,Pvalb Reln Itm2a,Core
670091720,Pvalb Reln Itm2a,Core
670340941,Sst Chodl,Core
673132928,Sst Myh8 Etv1 ,I2
673395815,Sst Crhr2 Efemp1,I1
673427380,Sst Chrna2 Glra3,Core
674069192,Sst Calb2 Pdlim5,Core
674126167,Pvalb Calb1 Sst,Core
674495385,Sst Tac2 Tacstd2,I2
679457550,Sst Nts,I2
679899997,Sst Hpse Cbln4,I2
679932490,Pvalb Tpbg,Core
680027413,Vip Lect1 Oxtr,Core
680048186,Pvalb Gabrg1,Core
680108584,Pvalb Gabrg1,Core
681793778,Vip Crispld2 Htr2c,I1
682332013,Pvalb Reln Tac1,Core
682454193,Pvalb Tpbg,I1
683899155,Sst Nr2f2 Necab1,I2
685624703,Sst Crhr2 Efemp1,I1
685636842,Sst Crhr2 Efemp1,I1
685707621,Pvalb Th Sst,Core
687907602,Sst Chrna2 Glra3,I1
688115867,Sst Rxfp1 Prdm8,Core
688145929,Pvalb Th Sst,I1
688958418,Sst Hpse Cbln4,Core
689030611,Pvalb Calb1 Sst,I1
689098357,Sst Hpse Cbln4,Core
689211404,Pvalb Gabrg1,I2
689280134,Pvalb Gabrg1,Core
689656936,Sst Calb2 Pdlim5,Core
691511791,Vip Rspo4 Rxfp1 Chat,Core
691665864,Lamp5 Plch2 Dock5,Core
691685873,Lamp5 Lsp1,Core
691719142,Vip Lmo1 Myl1,Core
692015490,Sst Rxfp1 Prdm8,Core
692044280,Sst Nts,Core
692083084,Sst Hpse Cbln4,PoorQ
692286150,Vip Lmo1 Myl1,Core
692310663,Sst Chrna2 Glra3,Core
692565557,Sst Esm1,Core
692777680,Vip Crispld2 Kcne4,Core
692821749,Pvalb Sema3e Kank4,Core
692824134,Pvalb Reln Itm2a,Core
692846027,Pvalb Sema3e Kank4,Core
693009119,Sst Nts,Core
693085460,Sst Hpse Sema3c,I2
693265371,Vip Ptprt Pkp2,Core
694146546,Vip Ptprt Pkp2,Core
694162255,Sst Nts,Core
694183636,Vip Crispld2 Kcne4,Core
694220357,Pvalb Akr1c18 Ntf3,Core
694419620,Pvalb Gabrg1,Core
694437359,Pvalb Gabrg1,Core
694689662,Vip Ptprt Pkp2,Core
694734857,Vip Lmo1 Myl1,Core
695316536,Vip Ptprt Pkp2,Core
696115308,Vip Lect1 Oxtr,Core
697502029,Sst Rxfp1 Prdm8,Core
697787349,Pvalb Sema3e Kank4,Core
697795277,Pvalb Sema3e Kank4,Core
697799017,Vip Lmo1 Myl1,Core
697810838,Vip Crispld2 Kcne4,Core
698042345,Pvalb Sema3e Kank4,Core
698086962,Pvalb Reln Itm2a,Core
698570301,Pvalb Reln Itm2a,Core
698586385,Pvalb Sema3e Kank4,Core
699448311,Pvalb Tpbg,Core
699495755,Pvalb Tpbg,Core
700390241,Vip Ptprt Pkp2,Core
700413526,Vip Lmo1 Fam159b,Core
701075567,Sst Chodl,Core
701140434,Pvalb Sema3e Kank4,I2
702051128,Sst Esm1,Core
703283610,Sst Crh 4930553C11Rik ,I1
703565379,Pvalb Th Sst,Core
704047023,Sst Calb2 Pdlim5,Core
705217315,Sst Tac2 Tacstd2,I2
705278421,Sst Tac1 Tacr3,Core
705570328,Sst Myh8 Etv1 ,Core
705817510,Sst Nr2f2 Necab1,Core
707162377,Sst Crhr2 Efemp1,I1
707179690,Sst Chodl,Core
707403326,Sst Hpse Cbln4,Core
707424705,Sst Mme Fam114a1,Core
707666779,Lamp5 Lsp1,Core
708221965,Sst Crh 4930553C11Rik ,I1
709153201,Pvalb Sema3e Kank4,Core
709219898,Vip Pygm C1ql1,I1
710338421,Sst Esm1,Core
710730520,Sst Tac1 Htr1d,Core
710743304,Sst Rxfp1 Eya1,Core
710784375,Sst Calb2 Necab1,I2
710920450,Sst Hpse Sema3c,Core
711212623,Sst Crh 4930553C11Rik ,I2
711464852,Sst Chodl,Core
711483278,Lamp5 Lhx6,Core
711528753,Sst Chodl,Core
711571947,Sst Crhr2 Efemp1,I1
711770582,Sst Calb2 Pdlim5,Core
711903629,Sst Nr2f2 Necab1,I1
713132614,Sst Calb2 Necab1,I2
713442456,Sst Hpse Cbln4,Core
714046701,Pvalb Reln Itm2a,Core
714228701,Pvalb Reln Tac1,I1
714485370,Sncg Vip Nptx2,I1
714601733,Pvalb Akr1c18 Ntf3,I1
714755043,Sncg Vip Nptx2,Core
714936352,Sncg Vip Itih5,Core
715159651,Vip Pygm C1ql1,I1
716298521,Sncg Vip Itih5,Core
716832846,Lamp5 Lsp1,Core
717637005,Lamp5 Plch2 Dock5,Core
717675736,Lamp5 Lsp1,Core
718135969,Sst Rxfp1 Eya1,I2
718188717,Pvalb Sema3e Kank4,Core
718195284,Sst Nts,Core
718202813,Sst Esm1,Core
718205473,Sst Crhr2 Efemp1,I2
718237581,Pvalb Sema3e Kank4,I1
718257664,Pvalb Tpbg,Core
718494231,Sst Mme Fam114a1,Core
718618263,Sst Calb2 Pdlim5,Core
