,id_ref,created_ref,valid_ref,size,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,id,created,valid,target_id,classification_system,cell_type,pre_pt_position,post_pt_position,ctr_pt_position
0,252841327,2020-11-04 14:33:23.840014+00:00,t,1264,96420779851496531,864691136118647832,96420779851511006,864691135570035334,1,2022-02-07 19:04:03+00:00,t,252841327,cg_calls,4P,[230014 177302  22721],[230066 177168  22727],[230072 177245  22728]
1,252889242,2020-11-04 10:33:52.615201+00:00,t,896,96280867131039747,864691136118647832,96280867131044154,864691135692759231,2,2022-02-07 19:04:03+00:00,t,252889242,cg_calls,5P_IT,[229016 183354  23708],[229022 183316  23710],[228982 183326  23713]
2,234601405,2020-11-04 11:41:10.073096+00:00,t,1576,95283128914105798,864691136118647832,95283128914108860,864691136273887166,3,2022-02-07 19:04:03+00:00,t,234601405,cg_calls,23P,[222018  89716  22711],[222018  89748  22713],[221960  89754  22717]
3,248722118,2020-11-04 13:28:14.430823+00:00,t,5028,96268359985173049,864691136118647832,96338728729319889,864691135064994884,4,2022-02-07 19:04:03+00:00,t,248722118,cg_calls,INH,[229408  89856  22390],[229416  89958  22389],[229462  89936  22389]
4,220312874,2020-11-04 08:51:40.223504+00:00,t,4356,94368128947379613,864691136118647832,94368128947360899,864691135776899245,5,2022-02-07 19:04:03+00:00,t,220312874,cg_calls,INH,[215122  87854  21915],[215146  87900  21903],[215156  87862  21907]
5,183058872,2020-11-04 10:59:18.897750+00:00,t,2908,91074061098288481,864691136118647832,91074061098292435,864691135954923272,6,2022-02-07 19:04:03+00:00,t,183058872,cg_calls,5P_IT,[191254 186816  23743],[191224 186910  23746],[191192 186870  23747]
6,244605791,2020-11-04 07:09:38.829357+00:00,t,2272,95651053126726493,864691136118647832,95651053126724653,864691136724106749,7,2022-02-07 19:04:03+00:00,t,244605791,cg_calls,5P_IT,[224726 209320  23681],[224714 209436  23677],[224686 209380  23677]
7,254666730,2020-11-04 08:43:50.837853+00:00,t,956,96913773377704619,864691136118647832,96913773377691479,864691135582147437,8,2022-02-07 19:04:03+00:00,t,254666730,cg_calls,5P_IT,[233936 180334  22820],[233972 180352  22812],[233976 180359  22813]
8,220954051,2020-11-04 10:01:09.128256+00:00,t,2464,94015392208459788,864691136118647832,94015460927947159,864691136287533763,9,2022-02-07 19:04:03+00:00,t,220954051,cg_calls,1P,[212946  81572  24116],[212820  81618  24107],[212910  81614  24111]
9,280018388,2020-11-04 12:41:19.361092+00:00,t,3036,98813798122755079,864691136118647832,98813798122762101,864691135341934277,10,2022-02-07 19:04:03+00:00,t,280018388,cg_calls,5P_IT,[247548 180738  22188],[247578 180626  22198],[247554 180678  22196]
