,id,predicted_MET-type Label,probability,Area
0,864691135013417622,Sst-MET-4,1.0,V1
8,864691135467660940,Sst-MET-4,1.0,V1
11,864691135699487522,Sst-MET-8,1.0,V1
14,864691135925834510,Sst-MET-8,1.0,V1
19,864691136118647832,Sst-MET-4,1.0,V1
9,864691135544588584,Sst-MET-8,0.998,V1
10,864691135577202181,Sst-MET-4,0.998,V1
6,864691135374222153,Sst-MET-6,0.996,V1
18,864691136116457636,Sst-MET-6,0.996,V1
1,864691135058985115,Sst-MET-6,0.994,V1
12,864691135754152141,Sst-MET-5,0.99,V1
16,864691135988665856,Sst-MET-6,0.986,V1
21,864691136618564493,Sst-MET-6,0.984,V1
13,864691135785592004,Sst-MET-4,0.942,V1
5,864691135341516741,Sst-MET-9,0.884,V1
2,864691135118298333,Sst-MET-6,0.598,V1
